"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0bnoT1p09yk2JMUdUBcneP","Tibetan Singing Bowls & Birds","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","spotify:album:3O9XeU71KjYuBgzUs5MHLL","Tibetan Bells, Tibetan Bowls: Tranquility, Gong Bath Sound, Buddhist Wisdom, Serenity Asian Meditation, Zen Garden Tao Music","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","2016-11-14","https://i.scdn.co/image/ab67616d0000b27364650cbfdb10dc956d16efa5","1","1","144595","https://p.scdn.co/mp3-preview/f52da124d1486019284d8e670fa7e0e9f3118e47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","PLL431545869","spotify:user:philgee123","2017-04-07T07:19:24Z"
"spotify:track:3NU2wT7kshMZ27K92r9cFd","Secrets of Zen Garden","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","spotify:album:3O9XeU71KjYuBgzUs5MHLL","Tibetan Bells, Tibetan Bowls: Tranquility, Gong Bath Sound, Buddhist Wisdom, Serenity Asian Meditation, Zen Garden Tao Music","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","2016-11-14","https://i.scdn.co/image/ab67616d0000b27364650cbfdb10dc956d16efa5","1","2","235655","https://p.scdn.co/mp3-preview/25ac162ff33b7a08df99d2d6cb2e014bdbfcb939?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","PLL431545870","spotify:user:philgee123","2017-04-07T07:19:24Z"
"spotify:track:3xANPDPaul73jcIQ07JRsR","Meditation with Tibetan Bells","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","spotify:album:3O9XeU71KjYuBgzUs5MHLL","Tibetan Bells, Tibetan Bowls: Tranquility, Gong Bath Sound, Buddhist Wisdom, Serenity Asian Meditation, Zen Garden Tao Music","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","2016-11-14","https://i.scdn.co/image/ab67616d0000b27364650cbfdb10dc956d16efa5","1","3","237658","https://p.scdn.co/mp3-preview/22ea6522deafed8222cc0eb76cbc4f6978870a28?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","PLL431545871","spotify:user:philgee123","2017-04-07T07:19:24Z"
"spotify:track:4ZKkUMpUK9p9ERtr9RvaFZ","Simple Pure Tranquility","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","spotify:album:3O9XeU71KjYuBgzUs5MHLL","Tibetan Bells, Tibetan Bowls: Tranquility, Gong Bath Sound, Buddhist Wisdom, Serenity Asian Meditation, Zen Garden Tao Music","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","2016-11-14","https://i.scdn.co/image/ab67616d0000b27364650cbfdb10dc956d16efa5","1","4","246683","https://p.scdn.co/mp3-preview/5c22a685c063964cc8c0543ce342fcfe4240c41b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","PLL431545872","spotify:user:philgee123","2017-04-07T07:19:24Z"
"spotify:track:0hZvKNsKXod01usj6Ofa4M","Relaxing Night Ambient","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","spotify:album:3O9XeU71KjYuBgzUs5MHLL","Tibetan Bells, Tibetan Bowls: Tranquility, Gong Bath Sound, Buddhist Wisdom, Serenity Asian Meditation, Zen Garden Tao Music","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","2016-11-14","https://i.scdn.co/image/ab67616d0000b27364650cbfdb10dc956d16efa5","1","5","170571","https://p.scdn.co/mp3-preview/5290e3988f4891605bd113fe7856533957392dd8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","PLL431545873","spotify:user:philgee123","2017-04-07T07:19:24Z"
"spotify:track:6JPIs13bmAgKY5GYLVnWz8","Thai Gong Bath Sound","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","spotify:album:3O9XeU71KjYuBgzUs5MHLL","Tibetan Bells, Tibetan Bowls: Tranquility, Gong Bath Sound, Buddhist Wisdom, Serenity Asian Meditation, Zen Garden Tao Music","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","2016-11-14","https://i.scdn.co/image/ab67616d0000b27364650cbfdb10dc956d16efa5","1","6","254769","https://p.scdn.co/mp3-preview/e407d996ad169d21f2b50d5450e6b5e8dbf3e1c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","PLL431545874","spotify:user:philgee123","2017-04-07T07:19:24Z"
"spotify:track:04EwTZ9ExYccAmMT5sadM1","Serenity Asian Meditation","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","spotify:album:3O9XeU71KjYuBgzUs5MHLL","Tibetan Bells, Tibetan Bowls: Tranquility, Gong Bath Sound, Buddhist Wisdom, Serenity Asian Meditation, Zen Garden Tao Music","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","2016-11-14","https://i.scdn.co/image/ab67616d0000b27364650cbfdb10dc956d16efa5","1","7","235731","https://p.scdn.co/mp3-preview/3836c0955b3a9a061d742e433369ae1812080a2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","PLL431545875","spotify:user:philgee123","2017-04-07T07:19:24Z"
"spotify:track:72VppGFO7U7OgJ3sIszbX2","Oriental Flute & Asia Bells","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","spotify:album:3O9XeU71KjYuBgzUs5MHLL","Tibetan Bells, Tibetan Bowls: Tranquility, Gong Bath Sound, Buddhist Wisdom, Serenity Asian Meditation, Zen Garden Tao Music","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","2016-11-14","https://i.scdn.co/image/ab67616d0000b27364650cbfdb10dc956d16efa5","1","8","246857","https://p.scdn.co/mp3-preview/c3c96dee67f0a659350a88cf1b15d9a74665bdfd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","PLL431545876","spotify:user:philgee123","2017-04-07T07:19:24Z"
"spotify:track:1AE7fxbpspAIrKR01LytAh","Complete Wellbeing","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","spotify:album:3O9XeU71KjYuBgzUs5MHLL","Tibetan Bells, Tibetan Bowls: Tranquility, Gong Bath Sound, Buddhist Wisdom, Serenity Asian Meditation, Zen Garden Tao Music","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","2016-11-14","https://i.scdn.co/image/ab67616d0000b27364650cbfdb10dc956d16efa5","1","9","247537","https://p.scdn.co/mp3-preview/1bc2fbf2215d6dc2e1878124692971dbb4abc173?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","PLL431545877","spotify:user:philgee123","2017-04-07T07:19:24Z"
"spotify:track:2o17fy0hvtUO6CKPL7DWms","Soft Tibetan Bowls Atmosphere","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","spotify:album:3O9XeU71KjYuBgzUs5MHLL","Tibetan Bells, Tibetan Bowls: Tranquility, Gong Bath Sound, Buddhist Wisdom, Serenity Asian Meditation, Zen Garden Tao Music","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","2016-11-14","https://i.scdn.co/image/ab67616d0000b27364650cbfdb10dc956d16efa5","1","10","243428","https://p.scdn.co/mp3-preview/b49f05e48d7c6966a678598d84f2a4f120f52896?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","PLL431545878","spotify:user:philgee123","2017-04-07T07:19:24Z"
