"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6tqIes4TjudsjfIpK4P2Jh","Long Beach","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX, spotify:artist:3YzuOhp0V0YIuaukc7U3Rp, spotify:artist:2fTTmPI3XaJwqM19w5QiRz","Kota the Friend, Hello O'shay, Alex Banin","spotify:album:0cMxALtiABnT1kIuA1wgsQ","EVERYTHING","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","Kota the Friend","2020-05-22","https://i.scdn.co/image/ab67616d0000b27327298ef27ce2c39f8177d1af","1","4","252778","https://p.scdn.co/mp3-preview/f4194851ff2851dc6f7f5ff0d80c1eda16881cec?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","QZES82020385","spotify:user:jpoulos33","2021-03-28T03:40:43Z"
"spotify:track:3DbBgbnDUOml329rAp2Tbr","Colorado","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","Kota the Friend","spotify:album:7DWz0zPWRlCDt5H4OoG5mN","Colorado","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","Kota the Friend","2018-10-24","https://i.scdn.co/image/ab67616d0000b2735c55e317bbc42400336ed54f","1","1","206500","https://p.scdn.co/mp3-preview/1e593bb9650cc5edd23a7ec6655dc3d44c0739b9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","TCADX1864760","spotify:user:jpoulos33","2021-03-28T03:40:55Z"
"spotify:track:4P04T22VRDMfG7Yk0SMMxP","Cabin Fever","spotify:artist:0xOeVMOz2fVg5BJY3N6akT","Jaden","spotify:album:5DfoMTrfErjlDnG79h6cKI","Cabin Fever","spotify:artist:0xOeVMOz2fVg5BJY3N6akT","Jaden","2020-07-23","https://i.scdn.co/image/ab67616d0000b273014aa64c37f1c3149e98ddce","1","1","195535","https://p.scdn.co/mp3-preview/4d816ecb7f02601395c24933de2bb61ab49d8858?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","QMJMT2002945","spotify:user:jpoulos33","2021-03-28T03:42:43Z"
"spotify:track:3gJDgenxLephg09x86IxPs","TEMPTATION","spotify:artist:2P5sC9cVZDToPxyomzF1UH","Joey Bada$$","spotify:album:2ZmDoyNYarmubD4vTfwh6g","ALL-AMERIKKKAN BADA$$","spotify:artist:2P5sC9cVZDToPxyomzF1UH","Joey Bada$$","2017-04-07","https://i.scdn.co/image/ab67616d0000b2733c7596dccb2aaca39e0cee3d","1","3","244197","https://p.scdn.co/mp3-preview/d5df668f1a44866c544f6000a5dff4e1333eb81e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","QMKSC1700042","spotify:user:jpoulos33","2021-03-28T03:45:33Z"
"spotify:track:2TyjVO7KBdGHBvQxAnFFsa","Kool Aid & Frozen Pizza","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:0WzOtZBpXvWdNdH7hCJ4qo","K.I.D.S.","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2010-08-13","https://i.scdn.co/image/ab67616d0000b27350570144b4a9a459406f9a3d","1","13","157540","https://p.scdn.co/mp3-preview/6af00eb04e9d6958d4be9db8c9f80bf31c6b2d13?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USQY51782508","spotify:user:jpoulos33","2021-03-28T03:46:17Z"
"spotify:track:0Zp3vkau8M79OVEiku20CH","College","spotify:artist:1kTXhPtUfoR5RZuG6sP3ls","Mike Price","spotify:album:0Iv2R41Q1yB5tSZufYPBRZ","College","spotify:artist:1kTXhPtUfoR5RZuG6sP3ls","Mike Price","2018-07-16","https://i.scdn.co/image/ab67616d0000b27305808b274569640d06b25b44","1","1","345019","https://p.scdn.co/mp3-preview/b06b1eb0e9b67e260d6bd2f8fb28c71903d05aba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","4","QZDA61868609","spotify:user:jpoulos33","2021-03-28T03:48:42Z"
"spotify:track:2cWA4IJmdwBG117Kux67Zs","Be the One","spotify:artist:1kTXhPtUfoR5RZuG6sP3ls","Mike Price","spotify:album:5jxbUBYM1KigOVgJSTwARy","Demos","spotify:artist:1kTXhPtUfoR5RZuG6sP3ls","Mike Price","2019-11-17","https://i.scdn.co/image/ab67616d0000b2733e2a7f4cd8c1a2989e3fa4d9","1","2","169043","https://p.scdn.co/mp3-preview/ea044d4af56dd774bd4ec28e3a13a46f112610be?cid=9950ac751e34487dbbe027c4fd7f8e99","true","4","QZHN91939088","spotify:user:jpoulos33","2021-03-28T03:49:58Z"
"spotify:track:40ZsN7vKatjbyoY8zx0DM8","Hollywood","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","Kota the Friend","spotify:album:4eosP6b4AHx0GA5Z9WVu0D","FOTO","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","Kota the Friend","2019-05-15","https://i.scdn.co/image/ab67616d0000b273c38a6416ad397465bf4d1b47","1","4","241678","https://p.scdn.co/mp3-preview/dc42912d66ea5608902d026ebe0565e02bbf92d5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","QZ85M1934916","spotify:user:jpoulos33","2021-03-28T03:52:20Z"
"spotify:track:4KvlilbyIkDukYgD70F1Ve","B.Q.E","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX, spotify:artist:2P5sC9cVZDToPxyomzF1UH, spotify:artist:70gP6Ry4Uo0Yx6uzPIdaiJ","Kota the Friend, Joey Bada$$, Bas","spotify:album:0cMxALtiABnT1kIuA1wgsQ","EVERYTHING","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","Kota the Friend","2020-05-22","https://i.scdn.co/image/ab67616d0000b27327298ef27ce2c39f8177d1af","1","3","263710","https://p.scdn.co/mp3-preview/021ea0e41ace3cc1ffef519ae3f6cdf35e7f0507?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","TCAET2089353","spotify:user:jpoulos33","2021-03-28T03:52:29Z"
"spotify:track:1WRISZYwLEgEtwL3ZLZ2w0","Love Drunk Lust (Make It Hard) [feat. Trip Carter & KnottRudy]","spotify:artist:7cLB1w50gSrBCzcD68UMuG, spotify:artist:5JIFfBLTzs0Gc6TuvUFKmS, spotify:artist:2bNkF5WGgymQPAqsdyxGH1, spotify:artist:2TICdhBI2R0tFrqdOkk1YQ","Peter $un, Blue Rondo, Trip Carter, KnottRudy","spotify:album:3Z5AWLS53a0MH7A4e8TBa3","Don't Forget to Smile","spotify:artist:7cLB1w50gSrBCzcD68UMuG, spotify:artist:5JIFfBLTzs0Gc6TuvUFKmS","Peter $un, Blue Rondo","2018-12-19","https://i.scdn.co/image/ab67616d0000b273928f179ab0650d915c5df184","1","4","205949","https://p.scdn.co/mp3-preview/ad56d8d6a411126ac2f65de1c673a7fb4077776e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","QZES91856282","spotify:user:jpoulos33","2021-03-28T03:58:35Z"
