"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6xzpxFWYkuPSQNJWiDaTi1","3 Hour Nap","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","spotify:album:7grwSChAM4sfiMXvmnl0Bo","White Noise Therapy Vol. 2","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","2012-05-01","https://i.scdn.co/image/ab67616d0000b27350dfb4fc0e7e28b7e3e18b66","1","1","416408","https://p.scdn.co/mp3-preview/0d468a83143571b969e53569f164403552c2a731?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","USDHM1206950","spotify:user:","2012-05-25T17:52:22Z"
"spotify:track:2X7F0CFKysyeK7D0dQeqRr","Business Class","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","spotify:album:7grwSChAM4sfiMXvmnl0Bo","White Noise Therapy Vol. 2","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","2012-05-01","https://i.scdn.co/image/ab67616d0000b27350dfb4fc0e7e28b7e3e18b66","1","2","416408","https://p.scdn.co/mp3-preview/14dacd5dc93d198805fd70ffe2196f732b48121b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USDHM1206951","spotify:user:","2012-05-25T17:52:22Z"
"spotify:track:0Z8hoK6NbPRnovjAW0NiYK","Cleansing Feeling","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","spotify:album:7grwSChAM4sfiMXvmnl0Bo","White Noise Therapy Vol. 2","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","2012-05-01","https://i.scdn.co/image/ab67616d0000b27350dfb4fc0e7e28b7e3e18b66","1","3","416408","https://p.scdn.co/mp3-preview/702850ecb8eaef5f1e27352d31d605262fb2dfd6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USDHM1206952","spotify:user:","2012-05-25T17:52:22Z"
"spotify:track:6hjo5K57FGyEXOPnG2DlT9","Floating Away","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","spotify:album:7grwSChAM4sfiMXvmnl0Bo","White Noise Therapy Vol. 2","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","2012-05-01","https://i.scdn.co/image/ab67616d0000b27350dfb4fc0e7e28b7e3e18b66","1","4","416408","https://p.scdn.co/mp3-preview/46a6c0eaf5d09828164324d5d5c050cdc83cf8b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","USDHM1206953","spotify:user:","2012-05-25T17:52:22Z"
"spotify:track:2dM3sShV2wMrUPJug0bA7S","Into the Air","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","spotify:album:7grwSChAM4sfiMXvmnl0Bo","White Noise Therapy Vol. 2","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","2012-05-01","https://i.scdn.co/image/ab67616d0000b27350dfb4fc0e7e28b7e3e18b66","1","5","416408","https://p.scdn.co/mp3-preview/58d7b1d63185733d34e690bda24dd10e99e2fe0c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","USDHM1206954","spotify:user:","2012-05-25T17:52:22Z"
"spotify:track:7zQMxatdaOeeucNx7QlIUS","Lighter Side","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","spotify:album:7grwSChAM4sfiMXvmnl0Bo","White Noise Therapy Vol. 2","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","2012-05-01","https://i.scdn.co/image/ab67616d0000b27350dfb4fc0e7e28b7e3e18b66","1","6","416408","https://p.scdn.co/mp3-preview/b58007613633c8fe9185093527915497d710bc79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USDHM1206955","spotify:user:","2012-05-25T17:52:22Z"
"spotify:track:74BWQ6VMeey7MetLfzP0tO","Lost In Space","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","spotify:album:7grwSChAM4sfiMXvmnl0Bo","White Noise Therapy Vol. 2","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","2012-05-01","https://i.scdn.co/image/ab67616d0000b27350dfb4fc0e7e28b7e3e18b66","1","7","416408","https://p.scdn.co/mp3-preview/cb7214ee0acef8a1dbf8796af6cb2c85f97b6b91?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","USDHM1206956","spotify:user:","2012-05-25T17:52:22Z"
"spotify:track:6mK4fQeUr6XdA7JVK1oUrb","New Life","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","spotify:album:7grwSChAM4sfiMXvmnl0Bo","White Noise Therapy Vol. 2","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","2012-05-01","https://i.scdn.co/image/ab67616d0000b27350dfb4fc0e7e28b7e3e18b66","1","8","416408","https://p.scdn.co/mp3-preview/de2223f50c2b2fe384e35cf551e6b059a43208a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","USDHM1206957","spotify:user:","2012-05-25T17:52:22Z"
"spotify:track:4yoihyIGgHIuxawr34NgLA","Pure White Noise","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","spotify:album:7grwSChAM4sfiMXvmnl0Bo","White Noise Therapy Vol. 2","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","2012-05-01","https://i.scdn.co/image/ab67616d0000b27350dfb4fc0e7e28b7e3e18b66","1","9","416408","https://p.scdn.co/mp3-preview/9ffdb98a2764996c05222a9345fc208c430eab0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USDHM1206958","spotify:user:","2012-05-25T17:52:22Z"
"spotify:track:674TPwevu17DVIxh1XmA4K","Relax Mode","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","spotify:album:7grwSChAM4sfiMXvmnl0Bo","White Noise Therapy Vol. 2","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","2012-05-01","https://i.scdn.co/image/ab67616d0000b27350dfb4fc0e7e28b7e3e18b66","1","10","416408","https://p.scdn.co/mp3-preview/cde6608eca0dc34f38eb550f91b4fc2d77e139a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","USDHM1206959","spotify:user:","2012-05-25T17:52:22Z"
"spotify:track:1bXo6aiTbjynfBs2sbdv9g","Thoughts of Lanai","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","spotify:album:7grwSChAM4sfiMXvmnl0Bo","White Noise Therapy Vol. 2","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","2012-05-01","https://i.scdn.co/image/ab67616d0000b27350dfb4fc0e7e28b7e3e18b66","1","11","416408","https://p.scdn.co/mp3-preview/6d15ccf067e7b9ba3b8cb78eadd57067c42d5f63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","USDHM1206960","spotify:user:","2012-05-25T17:52:22Z"
"spotify:track:0MPhezjYOMY7MX3YaR4Mev","Time to Sleep","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","spotify:album:7grwSChAM4sfiMXvmnl0Bo","White Noise Therapy Vol. 2","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","2012-05-01","https://i.scdn.co/image/ab67616d0000b27350dfb4fc0e7e28b7e3e18b66","1","12","416408","https://p.scdn.co/mp3-preview/3d9d663ded6b4f48dc31393bdd0fb3fc8c1bcd78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USDHM1206961","spotify:user:","2012-05-25T17:52:22Z"
"spotify:track:0UEPvBqcObX00Rr9ONo9vh","Transcendence","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","spotify:album:7grwSChAM4sfiMXvmnl0Bo","White Noise Therapy Vol. 2","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","2012-05-01","https://i.scdn.co/image/ab67616d0000b27350dfb4fc0e7e28b7e3e18b66","1","13","416408","https://p.scdn.co/mp3-preview/048f20d08ede522bc85dd5b0b9339a081de16454?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USDHM1206962","spotify:user:","2012-05-25T17:52:22Z"
"spotify:track:0SarTASIsrS0pULrCzMDVO","White Ambience","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","spotify:album:7grwSChAM4sfiMXvmnl0Bo","White Noise Therapy Vol. 2","spotify:artist:1O7bUkov2v71fDS60GOfMD","White Noise Therapy","2012-05-01","https://i.scdn.co/image/ab67616d0000b27350dfb4fc0e7e28b7e3e18b66","1","14","416408","https://p.scdn.co/mp3-preview/0d64cb9459d38e0f8b9701752c39a6249dcbe748?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","USDHM1206963","spotify:user:","2012-05-25T17:52:22Z"
