"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5gOd6zDC8vhlYjqbQdJVWP","Baker Street","spotify:artist:7tjbDPvrdvDshcpEMXKRVb","Gerry Rafferty","spotify:album:35yZZTWeSrszSKjRlFETwf","City to City","spotify:artist:7tjbDPvrdvDshcpEMXKRVb","Gerry Rafferty","1978","https://i.scdn.co/image/ab67616d0000b273dc60cf9a010f86354e6735dd","1","2","365626","https://p.scdn.co/mp3-preview/675fae4d349f14c2980d5f72b5894aa6b010d9f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBAYE7800619","spotify:user:","2022-07-28T19:01:39Z"
"spotify:track:1x1XQqhBViz4opcpwc7FVs","Reelin' In The Years","spotify:artist:6P7H3ai06vU1sGvdpBwDmE","Steely Dan","spotify:album:6DlSUW5gmq6Byc3osKDJ2p","Can't Buy A Thrill","spotify:artist:6P7H3ai06vU1sGvdpBwDmE","Steely Dan","1972-11-01","https://i.scdn.co/image/ab67616d0000b2730ddd7e736f870994f4707947","1","6","277467","https://p.scdn.co/mp3-preview/c25f38ac7dfc79377e285f483efeb28eae8a1038?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USMC17347184","spotify:user:","2022-07-28T19:01:39Z"
"spotify:track:01UYpHuzHi4eB9PAbDoPY2","Summer Breeze","spotify:artist:6jdObwsrIjSRnBbMw6lPBj","Seals and Crofts","spotify:album:4dkdQY484elFRfcVNY6uzj","Seals & Crofts' Greatest Hits","spotify:artist:6jdObwsrIjSRnBbMw6lPBj","Seals and Crofts","1972","https://i.scdn.co/image/ab67616d0000b273dfa20da3b777d38da4b044ca","1","9","205480","https://p.scdn.co/mp3-preview/a43849dc14edc245594ed052e0ff6f997bf9ce32?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USWB19901645","spotify:user:","2022-07-28T19:01:39Z"
"spotify:track:4yugZvBYaoREkJKtbG08Qr","Take It Easy - 2013 Remaster","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","spotify:album:51B7LbLWgYLKBVSpkan8Z7","Eagles (2013 Remaster)","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","1972","https://i.scdn.co/image/ab67616d0000b273c13acd642ba9f6f5f127aa1b","1","1","211577","https://p.scdn.co/mp3-preview/0cd8afbacd094e704ac86c8ff8a84b295df3c738?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USEE11300314","spotify:user:","2022-07-28T19:01:39Z"
"spotify:track:0SjnBEHZVXgCKvOrpvzL2k","Sundown","spotify:artist:23rleGXVOVVgTk3xgtmfE4","Gordon Lightfoot","spotify:album:2IPD9EcNjUmsHvqULDMU9Y","Sundown","spotify:artist:23rleGXVOVVgTk3xgtmfE4","Gordon Lightfoot","1974","https://i.scdn.co/image/ab67616d0000b2738f2b3a1c0559ca6188de574b","1","7","213400","https://p.scdn.co/mp3-preview/61bda1952d39b6d551258b7b2eefd8380c7f7f1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USRE10901178","spotify:user:","2022-07-28T19:01:39Z"
"spotify:track:2yBVeksU2EtrPJbTu4ZslK","What a Fool Believes","spotify:artist:39T6qqI0jDtSWWioX8eGJz","The Doobie Brothers","spotify:album:7je2uv9QBH65HhADDZitbB","Minute by Minute","spotify:artist:39T6qqI0jDtSWWioX8eGJz","The Doobie Brothers","1978","https://i.scdn.co/image/ab67616d0000b273ba6340ac3b1653b6ea0e5da5","1","2","223866","https://p.scdn.co/mp3-preview/15b0077da47c205d9a84d6905a7ca26be57a3ee7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USWB10902441","spotify:user:","2022-07-28T19:01:39Z"
"spotify:track:37BTh5g05cxBIRYMbw8g2T","Rosanna","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","spotify:album:62U7xIHcID94o20Of5ea4D","Toto IV","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","1982-04-08","https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b","1","1","331200","https://p.scdn.co/mp3-preview/3b99716aefc374b0e869ad8f512b1f8ff2309c1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USSM18200245","spotify:user:","2022-07-28T19:01:39Z"
"spotify:track:5dFoWIiJ2814hRwMYDcFiU","She's Gone","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","spotify:album:47Dmo9RLpgHMusEiF8luvu","Abandoned Luncheonette","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","1973-01-01","https://i.scdn.co/image/ab67616d0000b2734959f78cc9a050555687c4c2","1","4","313373","https://p.scdn.co/mp3-preview/abe517ec3d728568b1eb365712c64f6ea5fdb568?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USAT20614606","spotify:user:","2022-07-28T19:01:39Z"
"spotify:track:254bXAqt3zP6P50BdQvEsq","Everywhere - 2017 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:4AsXQ17Arq1cUVoa9dKJ3F","Tango In the Night (Deluxe Edition)","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1987-04-13","https://i.scdn.co/image/ab67616d0000b273aaba065944cd82a6f15c86b6","1","3","226653","https://p.scdn.co/mp3-preview/9f7ca4c61f18a45d800c1242d377b4c787896a7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USRH11602189","spotify:user:","2022-07-28T19:01:39Z"
"spotify:track:7i3xpu7SFWvzhGa9AZyySR","Reminiscing - Remastered 2022","spotify:artist:6clbbhnIqpHnqxwtOWcilg","Little River Band","spotify:album:5XXymqS9NunPlUbovZK8WJ","Sleeper Catcher (Remastered 2022)","spotify:artist:6clbbhnIqpHnqxwtOWcilg","Little River Band","1978","https://i.scdn.co/image/ab67616d0000b273ad53be7d2ec379399660c1ec","1","6","257868","https://p.scdn.co/mp3-preview/2d475dc4bddb8efc85edf6bd485098d4d7dda79e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","AUEM01000133","spotify:user:","2022-07-28T19:01:39Z"
