"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4d4Fgs8KH0gyDSdc7HuwBF","J'y suis jamais allé","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","spotify:album:6hzdQgjn3wTJhOUI4cVKu2","Amelie from Montmartre","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","2001-04-23","https://i.scdn.co/image/ab67616d0000b273e38b4fcd4e9ef57865b3c247","1","1","94466","","false","0","FRS949701290","spotify:user:","2012-06-23T05:08:27Z"
"spotify:track:2VytlrEA2LUw2I8Kr0phAy","Les jours tristes - Instrumental","spotify:artist:00sazWvoTLOqg5MFwC68Um, spotify:artist:7EV6jW6dotBdvsHj6xPixi","Yann Tiersen, The Divine Comedy","spotify:album:6hzdQgjn3wTJhOUI4cVKu2","Amelie from Montmartre","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","2001-04-23","https://i.scdn.co/image/ab67616d0000b273e38b4fcd4e9ef57865b3c247","1","2","183466","","false","0","FRS940100022","spotify:user:","2012-06-23T05:08:27Z"
"spotify:track:508AvcfQL1jBYNdSrA1GVn","La valse d'Amélie - Version originale","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","spotify:album:6hzdQgjn3wTJhOUI4cVKu2","Amelie from Montmartre","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","2001-04-23","https://i.scdn.co/image/ab67616d0000b273e38b4fcd4e9ef57865b3c247","1","3","135906","","false","0","FR91U0100001","spotify:user:","2012-06-23T05:08:27Z"
"spotify:track:2AkcjsKlRbIBYGAgpQVFii","Comptine d'un autre été, l'après-midi","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","spotify:album:6hzdQgjn3wTJhOUI4cVKu2","Amelie from Montmartre","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","2001-04-23","https://i.scdn.co/image/ab67616d0000b273e38b4fcd4e9ef57865b3c247","1","4","140733","","false","0","FR91U0100002","spotify:user:","2012-06-23T05:08:27Z"
"spotify:track:2hseQ3CdoZmJLUuLbO7gKp","La noyée","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","spotify:album:6hzdQgjn3wTJhOUI4cVKu2","Amelie from Montmartre","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","2001-04-23","https://i.scdn.co/image/ab67616d0000b273e38b4fcd4e9ef57865b3c247","1","5","123000","","false","0","FRS949701200","spotify:user:","2012-06-23T05:08:27Z"
"spotify:track:2Nyvm0bhGCzMec1um6NQsd","L'autre valse d'Amélie","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","spotify:album:6hzdQgjn3wTJhOUI4cVKu2","Amelie from Montmartre","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","2001-04-23","https://i.scdn.co/image/ab67616d0000b273e38b4fcd4e9ef57865b3c247","1","6","93400","","false","0","FR91U0100003","spotify:user:","2012-06-23T05:08:27Z"
"spotify:track:6Mry3w9hqptYew7ien2027","Guilty - 2001 Remastered Version","spotify:artist:7uUBTiZ2u5b40vymlFmXrn","George Shearing","spotify:album:6hzdQgjn3wTJhOUI4cVKu2","Amelie from Montmartre","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","2001-04-23","https://i.scdn.co/image/ab67616d0000b273e38b4fcd4e9ef57865b3c247","1","7","193000","","false","0","USCA20001513","spotify:user:","2012-06-23T05:08:27Z"
"spotify:track:5XmfF2AadD7CBS4v3sAL4U","A quai","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","spotify:album:6hzdQgjn3wTJhOUI4cVKu2","Amelie from Montmartre","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","2001-04-23","https://i.scdn.co/image/ab67616d0000b273e38b4fcd4e9ef57865b3c247","1","8","212293","","false","0","FRS940000117","spotify:user:","2012-06-23T05:08:27Z"
"spotify:track:6OfoGfHRD23SIo3z7RquTe","Le moulin","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","spotify:album:6hzdQgjn3wTJhOUI4cVKu2","Amelie from Montmartre","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","2001-04-23","https://i.scdn.co/image/ab67616d0000b273e38b4fcd4e9ef57865b3c247","1","9","267733","","false","0","FR91U0100004","spotify:user:","2012-06-23T05:08:27Z"
"spotify:track:1msWhAVq9JDhBIlnw9LsHg","Pas si simple","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","spotify:album:6hzdQgjn3wTJhOUI4cVKu2","Amelie from Montmartre","spotify:artist:00sazWvoTLOqg5MFwC68Um","Yann Tiersen","2001-04-23","https://i.scdn.co/image/ab67616d0000b273e38b4fcd4e9ef57865b3c247","1","10","112533","","false","0","FRS949701310","spotify:user:","2012-06-23T05:08:27Z"
