"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6BfXthgvACpWgWPESVDClX","Yellow Bird","spotify:artist:0InUwhs6Dkt2JHabJgCgMk","Southside Harmonics Steel Orchestra","spotify:album:3k9rjsHvsdFReqSTLKBBND","Jamaica Farewell: Best of Caribbean Steel Drums","spotify:artist:0InUwhs6Dkt2JHabJgCgMk","Southside Harmonics Steel Orchestra","2010-02-01","https://i.scdn.co/image/ab67616d0000b273f0e3aa975e197c5e3574df6a","1","1","177000","https://p.scdn.co/mp3-preview/2ce83a9250b793de8ac01d7b1f7b1be69823579b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","GBCKG0900695","spotify:user:","2012-05-29T04:40:30Z"
"spotify:track:7DDSg3AcOtWiFQO4CtSLqe","Yellow Bird","spotify:artist:1NxmTb4M0OY7akmLTR079X","Jamaican Steel Band","spotify:album:0ArnBxZGXXH03XvazfIZVK","Steel Drums Of The Caribbean Vol 2 - Calypso Classics","spotify:artist:1NxmTb4M0OY7akmLTR079X","Jamaican Steel Band","2006-03-10","https://i.scdn.co/image/ab67616d0000b273847bcc769f82a503e3d67113","1","16","178120","https://p.scdn.co/mp3-preview/7f0327168e6ce6ddbc4ef1438ce9c0e25d263a15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","USEEC0612240","spotify:user:","2012-05-29T04:41:02Z"
"spotify:track:3uIiZ7M4mLULKuYEIYs1Xr","Yellow Bird","spotify:artist:4dZrt8Ong5t7YYpvbfp0RU","Chet Atkins","spotify:album:2GSY4vEVeDtODIGurOgz3U","Guitar Magic","spotify:artist:4dZrt8Ong5t7YYpvbfp0RU","Chet Atkins","2011-10-01","https://i.scdn.co/image/ab67616d0000b2731f3947660ebb09865849f388","1","5","120240","","false","0","USA371463977","spotify:user:","2012-05-29T04:41:02Z"
"spotify:track:2L3BSsByeb7Ie0czTtS5Yx","Yellow Bird","spotify:artist:55CCS64lPz88twUDVquU1u","Roger Williams","spotify:album:2MEhuAU7HJA29kCBJcVcFv","The Best Of Roger Williams 20th Century Masters The Millennium Collection","spotify:artist:55CCS64lPz88twUDVquU1u","Roger Williams","2004-01-01","https://i.scdn.co/image/ab67616d0000b273fa93850e51996072eb9dc509","1","5","132546","","false","0","USMC15904029","spotify:user:","2012-05-29T04:41:02Z"
"spotify:track:4utfMa5UFPdL9zFdDGtHWM","Yellow Bird","spotify:artist:2GMH35k5oLCjzYpn5HbaD8","Lawrence Welk","spotify:album:0p5XXqKTXPqt0DTVZ9vVyq","Blue Tango - Essential Masters","spotify:artist:2GMH35k5oLCjzYpn5HbaD8","Lawrence Welk","2012-02-01","https://i.scdn.co/image/ab67616d0000b273b5cfe52c2e027e4dbdc236b0","1","8","137186","","false","0","USA371653571","spotify:user:","2012-05-29T04:41:02Z"
"spotify:track:67z0VJPKyYVR8nxw0324LB","Yellow Bird","spotify:artist:5v8bwWRbu7AI3YFhzoM6Ha","The Mills Brothers","spotify:album:0jYQ7cihZ2yD7GGkY4r2rZ","Paper Doll","spotify:artist:5v8bwWRbu7AI3YFhzoM6Ha","The Mills Brothers","2008-06-23","https://i.scdn.co/image/ab67616d0000b2738a8de5034467682d3d4d730c","1","5","159007","","false","0","GBSUW0721970","spotify:user:","2012-05-29T04:41:02Z"
"spotify:track:102HTpmIJlXdJJZzaP5EVB","Yellow Bird/Jamaica Farewell","spotify:artist:0Gsmk9xnYV4tSbS8plAJkE","Paul McDermand","spotify:album:7pHjVcgJoMvYrWUs4ewacJ","Spanish Eyes","spotify:artist:0Gsmk9xnYV4tSbS8plAJkE","Paul McDermand","2002","https://i.scdn.co/image/ab67616d0000b27300a20b3a89c90b5dadfcb84e","1","1","316693","https://p.scdn.co/mp3-preview/bdf8e82c08a29975871cb83531d26e6c5864a27e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","uscgj0702294","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:7ylduVmLo6wEMAWKBnHZfS","Yellow Bird / Yellow Days","spotify:artist:4hlcJsVhlNOlGkQBoBehdw","Charlie Shaffer","spotify:album:3DoZhBX95RBWlnqMQ33sk8","Piano For Latin Lovers","spotify:artist:4hlcJsVhlNOlGkQBoBehdw","Charlie Shaffer","1998-06-01","https://i.scdn.co/image/ab67616d0000b273440db8baaa3f7841cf069126","1","8","245626","","false","0","USF2G0610295","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:1WsvJZJHJ7Pir09rZeJbmk","Yellow Bird / Never On a Sunday","spotify:artist:3RXrnzeDDghyd5Igzu3X7D","Dermot O'Brien","spotify:album:0wEJsBm5oS5Y6DlYtBxZm1","The Accordion Sounds of Dermot O' Brien","spotify:artist:3RXrnzeDDghyd5Igzu3X7D","Dermot O'Brien","2012-08-10","https://i.scdn.co/image/ab67616d0000b273276c874cb771a7ff1b081140","1","2","216520","https://p.scdn.co/mp3-preview/9b7b831f252011022b4c62b4d69db6f02ea9d3ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","IEFJB1100322","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:3luqqfFN0TazOAqI948r4K","Yellow Bird / Jamaica Farewell","spotify:artist:7jT8rQM8zRimyyGzNLK28z","Toucans Steel Drum Band","spotify:album:0LU42HNF1yrQwyq7cmH8bW","The Best Of The Toucans","spotify:artist:7jT8rQM8zRimyyGzNLK28z","Toucans Steel Drum Band","2003","https://i.scdn.co/image/ab67616d0000b273ac5e394324dd1cab7be7a338","1","6","277306","https://p.scdn.co/mp3-preview/c37cbd6945d59f80d50cc389814e69ea126a39fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","ushm80525979","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:37VF5kp1zgLMKtAqNizsT2","Yellow Bird - Original","spotify:artist:5sCZ2Gc3nZaE3Cav8WG7WG","The Paragons","spotify:album:2gQG9wn74AyN4Qhx2deBMO","On The Beach With The Paragons","spotify:artist:5sCZ2Gc3nZaE3Cav8WG7WG","The Paragons","2006-03-28","https://i.scdn.co/image/ab67616d0000b2733cfb32cf840527a35af7b3c2","1","9","210000","","false","0","USFB20601038","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:7nM3P4DLH1pi9UHv8iPCW1","Yellow Bird (Nok Sii Ler-ang)","spotify:artist:4xM6chwwJA2t5QCIC6shFm","Caravan","spotify:album:0RV5Xh3T5AS5jR9dpS1xKG","Thailand: Songs for Life","spotify:artist:4xM6chwwJA2t5QCIC6shFm","Caravan","1978-01-01","https://i.scdn.co/image/ab67616d0000b2739173757e439f47c64bb07717","1","8","350226","https://p.scdn.co/mp3-preview/f9cb8c7437f83b6ae65232b5d2d0c4e366832065?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USSF17804208","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:7qLW4ck90NWKxZajOzxLx5","Yellow Bird (Karaoke Lead Vocal Demo)[In the Style of Roger Whittaker]","spotify:artist:2c9hCQXDb2ciXrhTbhzVQi","Backtrack Professional Karaoke Band","spotify:album:4mYksBUhn6P7uEKYHIYFWz","Karaoke - In the Style of Roger Whittaker, Vol. 2 (Karaoke Version)","spotify:artist:2c9hCQXDb2ciXrhTbhzVQi","Backtrack Professional Karaoke Band","2009-08-13","https://i.scdn.co/image/ab67616d0000b273e9fb0877a930431e5e7c3b47","1","6","141072","https://p.scdn.co/mp3-preview/cc6a8b1796ee71eeb916fa476ce1b4fbbde3e82c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USMTK0904137","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:6CzqwXVWSGC8hkH68TVrE8","Yellow Bird (Karaoke Lead Vocal Demo)[In the style of Latin Hits]","spotify:artist:0FQnTKF71zmqOzMB1ulput","ProSound Karaoke Band","spotify:album:3PGQvybnbls977oG3Z5hK6","Karaoke - Night Club Combo, Vol. 9 (Professional Performance Tracks)","spotify:artist:0FQnTKF71zmqOzMB1ulput","ProSound Karaoke Band","2010-02-10","https://i.scdn.co/image/ab67616d0000b27366ce3835fb5f540989825cb9","1","14","132462","https://p.scdn.co/mp3-preview/32f9d2fd8f54e77394d7420df6b5f829713e0ca0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USM4H0822850","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:0hTh0W1sc1Y59WeRr5bvFZ","Yellow Bird (Karaoke Lead Vocal Demo) [In the Style of Combo]","spotify:artist:0FQnTKF71zmqOzMB1ulput","ProSound Karaoke Band","spotify:album:40mocqyuIXZ6sS9AQ75bZE","Sing Latin (Karaoke Performance Tracks)","spotify:artist:0FQnTKF71zmqOzMB1ulput","ProSound Karaoke Band","2008-02-10","https://i.scdn.co/image/ab67616d0000b273e2e900d3eb45d56e33e1879e","1","7","132462","https://p.scdn.co/mp3-preview/32f9d2fd8f54e77394d7420df6b5f829713e0ca0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US89T0507719","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:1Kwu5gJt0L5VwUGx7MliAz","Yellow Bird (Karaoke Instrumental Track)[In the style of Latin Hits]","spotify:artist:0FQnTKF71zmqOzMB1ulput","ProSound Karaoke Band","spotify:album:3PGQvybnbls977oG3Z5hK6","Karaoke - Night Club Combo, Vol. 9 (Professional Performance Tracks)","spotify:artist:0FQnTKF71zmqOzMB1ulput","ProSound Karaoke Band","2010-02-10","https://i.scdn.co/image/ab67616d0000b27366ce3835fb5f540989825cb9","1","13","133395","https://p.scdn.co/mp3-preview/62ce86696b3a27753a8eca01cf046609081dc45a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USM4H0802850","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:1MyFMvcm68K87PIEWMHbpT","Yellow Bird (Karaoke Instrumental Track) [In the Style of Combo]","spotify:artist:0FQnTKF71zmqOzMB1ulput","ProSound Karaoke Band","spotify:album:40mocqyuIXZ6sS9AQ75bZE","Sing Latin (Karaoke Performance Tracks)","spotify:artist:0FQnTKF71zmqOzMB1ulput","ProSound Karaoke Band","2008-02-10","https://i.scdn.co/image/ab67616d0000b273e2e900d3eb45d56e33e1879e","1","2","133395","https://p.scdn.co/mp3-preview/62ce86696b3a27753a8eca01cf046609081dc45a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US89T0503719","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:1Mh8EnJPQciIBwvHJhKXj2","Yellow Bird (Instrumental Track Without Background Vocal)[Karaoke in the style of Roger Whittaker]","spotify:artist:2c9hCQXDb2ciXrhTbhzVQi","Backtrack Professional Karaoke Band","spotify:album:4mYksBUhn6P7uEKYHIYFWz","Karaoke - In the Style of Roger Whittaker, Vol. 2 (Karaoke Version)","spotify:artist:2c9hCQXDb2ciXrhTbhzVQi","Backtrack Professional Karaoke Band","2009-08-13","https://i.scdn.co/image/ab67616d0000b273e9fb0877a930431e5e7c3b47","1","1","141072","https://p.scdn.co/mp3-preview/76bc25e8135e23a94e7d1607bfd00aa29fc2b0ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USMTK0904132","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:0hJdRRpvVrAfgl40YvYOTa","Yellow Bird (Instr.)","spotify:artist:3JDg6AXTWSv7e0T6URjk8a","Ben Poetiray","spotify:album:3YuDYv2Qk60vVDZO3LS6B7","Indonesian Love Songs (Adinda) 3","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1996-01-01","https://i.scdn.co/image/ab67616d0000b2736cedf2adb55ee4457e4111f0","1","6","156866","https://p.scdn.co/mp3-preview/ceb0169c4bfaa5a879a437f79000dd077950918f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","nlb039600065","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:6tlgjmClcNAwyxHO5xy5cC","Yellow Bird (Have You No Home)","spotify:artist:37zQh5slg6P6Yzo2DLAUUL","Design","spotify:album:7ggBumtpc79PEzLSu3zDRi","Day Of The Fox","spotify:artist:37zQh5slg6P6Yzo2DLAUUL","Design","2011-06-06","https://i.scdn.co/image/ab67616d0000b27364694a0263421c3735299340","1","9","173760","","false","0","GBYDR1102633","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:62zFLKMatnZUSDZ1AHnLOk","Yellow Bird (feat. Richard Welsh)","spotify:artist:0kHVAOUbBbPs4umsNcSroN","Porch Dog Revival","spotify:album:4caVGSaii8sOlxbEED2u6T","Porch Dog Revival","spotify:artist:0kHVAOUbBbPs4umsNcSroN","Porch Dog Revival","2011-04-28","https://i.scdn.co/image/ab67616d0000b273b24e297f1f2e7205a6969f63","1","2","315520","https://p.scdn.co/mp3-preview/112164a38f0b7f64788a657980fde5ab3d9e36c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","uscgj1160183","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:04AZZRwgGshzp41OlnUO05","Yellow Bird (Children's Music)","spotify:artist:3K61WeSqFQvMJHPqaWiDJB","Children's Music Steel Drum Band","spotify:album:1kKjKbw3kBnezxDq5Ub9Qu","Children's Music Steel Drum Band Presents Caribbean Sing-a-Long Party Songs for Kids Above and Under the Sea","spotify:artist:3K61WeSqFQvMJHPqaWiDJB","Children's Music Steel Drum Band","2011-08-19","https://i.scdn.co/image/ab67616d0000b273ea381eb2d5d53db8c30a9f04","1","8","151266","https://p.scdn.co/mp3-preview/dd81209fe1bdba26e36ef2546b3f08dc05246ae3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCABA1109043","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:2AScuKZTAxIHIN0zH19nQf","Yellow Bird (Calypso)","spotify:artist:6vC25TzCeukjb7QgzFyZY8, spotify:artist:1JLms7JDJD2bh317GPevE0","Norman Luboff, His Chorus","spotify:album:0zS7EmDeYOp2UAortzkOnb","Vintage World Nº 65 - EPs Collectors, ""Festival Calypso""""","spotify:artist:6vC25TzCeukjb7QgzFyZY8","Norman Luboff","1958-06-21","https://i.scdn.co/image/ab67616d0000b273044d2bf1ac51ba48fdc16613","1","3","196486","","false","0","USA370982227","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:4J9vX8fs4fyTH266IbG03F","Yellow Bird","spotify:artist:72ecQ6NCi63MfEszwzIi4S","The Merrymen","spotify:album:0vj97APfFIVPMHkxMIp3Ts","The Best Of The Merrymen","spotify:artist:72ecQ6NCi63MfEszwzIi4S","The Merrymen","1992-01-01","https://i.scdn.co/image/ab67616d0000b2734362dadbeb08d20d668aab33","1","13","181400","","false","0","US4R30913041","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:1V12CUyKs4nHHHXH8eQsva","Yellow Bird","spotify:artist:6EJ29vaU5RX6RkSB0oxk9H","Danny Taddei","spotify:album:5AyYiQLuD5J2UlaCXHXSWZ","The Lost Isle Of Santocia","spotify:artist:6EJ29vaU5RX6RkSB0oxk9H","Danny Taddei","2009-06-16","https://i.scdn.co/image/ab67616d0000b2732be9fcfdc548154b49a39e7a","1","2","150200","https://p.scdn.co/mp3-preview/91e6e823a5f17d97059710608328be9e64e11626?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ushm20960293","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:2tjOtibrFiBSvnrBH8JL5j","Yellow Bird","spotify:artist:6W00QvSl51VzKuzvF2h5FT","Ricky Benn","spotify:album:7qXHGDCWgZ9GYNw2YDKbDG","Moods Of Pan","spotify:artist:6W00QvSl51VzKuzvF2h5FT","Ricky Benn","2001-01-01","https://i.scdn.co/image/ab67616d0000b2735d6b3ae9e11e91ae760b79c9","1","5","241840","","false","0","BBA010100667","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:1GevmjOc0yaCUH09e0G9sf","Yellow Bird","spotify:artist:4W464Z0fF6nqzW3NTqnJ5t","The Norman Luboff Orchestra","spotify:album:75s7mHqF8GkwHrlfjXmYjV","The Very Best Of","spotify:artist:2SlGflGRxgwvQCRrsVLF8S","The Norman Luboff Choir","2011-05-01","https://i.scdn.co/image/ab67616d0000b2731c24dfa42d2e467dbc899f1a","1","27","206226","","false","0","USA371299533","spotify:user:","2012-10-23T09:43:26Z"
"spotify:track:6jHQtwp1DB6BYpbogvUu9a","Yellow Bird","spotify:artist:7fC7kZiXajygxTmh8eOvQM","Wilfred Soloman & The Magnetics","spotify:album:6EPPP6WTikZUhHoVL1WIOd","At The Fabulous Xanadu Beach Hotel","spotify:artist:7fC7kZiXajygxTmh8eOvQM","Wilfred Soloman & The Magnetics","2011-04-01","https://i.scdn.co/image/ab67616d0000b273d4fb40a5f302f001f5ca9e26","1","4","466786","","false","0","USA371273922","spotify:user:","2012-10-23T09:43:26Z"
