"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3YKqGzKdteEc75JKpUBRnG","Lion Roars Loudly","spotify:artist:5DE7ftfW6Nt36ckDA8VzKj","Pro Sound Effects Library","spotify:album:4urb5Ye4Nl8OQ6l5wDuOlz","Sounds of Animals: Lions, Tigers and Bears","spotify:artist:5DE7ftfW6Nt36ckDA8VzKj","Pro Sound Effects Library","2012-08-01","https://i.scdn.co/image/ab67616d0000b2731fc8adfccf883bc81034833d","1","25","55611","https://p.scdn.co/mp3-preview/4b0d676f31a478f042561b0e5206ee6cf57358fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","US4R31216947","spotify:user:82z3k3c3ijn2ogrbdndu66x71","2020-11-14T19:20:48Z"
"spotify:track:3hlI7oji34t96joxk9ATlX","Penguin Calls","spotify:artist:4NqS7DbPFYwZmniGHCPMpm","Nature Sounds","spotify:album:2vwFoAzMoMfCEevgAyhDhY","Relaxing Sounds from the Sea","spotify:artist:4NqS7DbPFYwZmniGHCPMpm","Nature Sounds","2008-06-30","https://i.scdn.co/image/ab67616d0000b27321d0349a17195a81102ed4fc","1","4","182000","https://p.scdn.co/mp3-preview/f85ff6a7cb28b75c63dd5da116d64c722f30bcb9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","US4R30744854","spotify:user:82z3k3c3ijn2ogrbdndu66x71","2020-11-14T19:21:17Z"
"spotify:track:0eK8ZUTQS52ovgo8hiWn1V","Ostrich - The World's Largest Bird","spotify:artist:0jvq0p6o3L8thi1pjsPH6l","Sounds of Nature Kingdom","spotify:album:0GC0W70d9FNCt2YcqE9TH9","The Wild Nature Kingdom","spotify:artist:0jvq0p6o3L8thi1pjsPH6l","Sounds of Nature Kingdom","2018-08-23","https://i.scdn.co/image/ab67616d0000b2735b513e6161f6f3b1bbcaa414","1","35","60000","https://p.scdn.co/mp3-preview/68b01969c540b6df6c80e1759e36a3f8bd611a99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","QZ5CV1834560","spotify:user:82z3k3c3ijn2ogrbdndu66x71","2020-11-14T19:24:15Z"
"spotify:track:6zh8pZr3eNcp8KgQLFU8Nv","Chickens","spotify:artist:6zqgWTRnDo30IxlYwVHXLH","Doug Carroll","spotify:album:2jBrM1Wq83wzti9Ycd2Dyk","Animal Sounds","spotify:artist:6zqgWTRnDo30IxlYwVHXLH","Doug Carroll","2010-06-07","https://i.scdn.co/image/ab67616d0000b273bf451620e590562ba8da2403","1","28","69120","https://p.scdn.co/mp3-preview/cda941879da40e2c4ae21c4cbc529a075f935985?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","ushm21025727","spotify:user:82z3k3c3ijn2ogrbdndu66x71","2020-11-14T20:36:34Z"
"spotify:track:2WVtGdK7VrX3mNH3FbvTjw","Owl Sounds","spotify:artist:1MrPIBsVUnQmBE8w9az1Ju","Owl Sounds","spotify:album:0KIxQQZHfETaadKNqrwjEV","Owl Sounds","spotify:artist:1MrPIBsVUnQmBE8w9az1Ju","Owl Sounds","2016-11-01","https://i.scdn.co/image/ab67616d0000b273b0d65439ec4a10f16ad57fd6","1","1","64626","https://p.scdn.co/mp3-preview/d659012255906f1fd9365453f93a0a5177e431d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USJ3V1431316","spotify:user:82z3k3c3ijn2ogrbdndu66x71","2020-11-14T20:36:41Z"
"spotify:track:4IRpsCIN48bhJp6FHVwFOL","Red Monkeys 1","spotify:artist:6zqgWTRnDo30IxlYwVHXLH","Doug Carroll","spotify:album:2jBrM1Wq83wzti9Ycd2Dyk","Animal Sounds","spotify:artist:6zqgWTRnDo30IxlYwVHXLH","Doug Carroll","2010-06-07","https://i.scdn.co/image/ab67616d0000b273bf451620e590562ba8da2403","1","2","74080","https://p.scdn.co/mp3-preview/aecb38ec3f84e6145477e6f38507c7619d3fca8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","ushm21025701","spotify:user:82z3k3c3ijn2ogrbdndu66x71","2020-11-14T20:37:28Z"
"spotify:track:4lgkmx2wrDkCFBnGgwthns","Flamingos","spotify:artist:6zqgWTRnDo30IxlYwVHXLH","Doug Carroll","spotify:album:7BagaqFddMlG9sPA2knp97","Animal Sounds II","spotify:artist:6zqgWTRnDo30IxlYwVHXLH","Doug Carroll","2018-04-12","https://i.scdn.co/image/ab67616d0000b2736dacfa1a614cf2532a45d685","1","4","76226","https://p.scdn.co/mp3-preview/79575c3bef758ccfd1a1180f62ffcf7636169008?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","QMAAK1844286","spotify:user:82z3k3c3ijn2ogrbdndu66x71","2020-11-14T20:37:39Z"
"spotify:track:5JvB9P9JN6Ny9kJRmV4gCl","African Elephant","spotify:artist:5DE7ftfW6Nt36ckDA8VzKj","Pro Sound Effects Library","spotify:album:3QwE8DjKBwC7dQYzTiwTGd","Endangered Animals of the World - Authentic Sounds of Nature's Rarest Species","spotify:artist:5DE7ftfW6Nt36ckDA8VzKj","Pro Sound Effects Library","2012-12-10","https://i.scdn.co/image/ab67616d0000b273a667387fb95026a8f406296c","1","1","47104","https://p.scdn.co/mp3-preview/a695348d97312c1e776fd40d847b03db4d7ca3e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","US4R31240501","spotify:user:82z3k3c3ijn2ogrbdndu66x71","2020-11-14T20:38:47Z"
"spotify:track:3uKgZgXOkfQj09x9Apysbq","Tiger Calls","spotify:artist:5DE7ftfW6Nt36ckDA8VzKj","Pro Sound Effects Library","spotify:album:4urb5Ye4Nl8OQ6l5wDuOlz","Sounds of Animals: Lions, Tigers and Bears","spotify:artist:5DE7ftfW6Nt36ckDA8VzKj","Pro Sound Effects Library","2012-08-01","https://i.scdn.co/image/ab67616d0000b2731fc8adfccf883bc81034833d","1","49","33367","https://p.scdn.co/mp3-preview/987a473de9132c8555b00d344f2a74691d7e1de9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","US4R31216971","spotify:user:82z3k3c3ijn2ogrbdndu66x71","2020-11-14T20:41:01Z"
"spotify:track:4IXmWcHmUWbTfiK411HE5z","Polar Bear Growl","spotify:artist:5DE7ftfW6Nt36ckDA8VzKj","Pro Sound Effects Library","spotify:album:7v2FcNqZLffjIuZw7XPLAJ","Sounds of Animals: Exotic Animals of the World","spotify:artist:5DE7ftfW6Nt36ckDA8VzKj","Pro Sound Effects Library","2012-08-01","https://i.scdn.co/image/ab67616d0000b27346c4b9d2fbfb5d803044dad7","1","100","15281","https://p.scdn.co/mp3-preview/abbb4f97e2bfd7bcf660497243c8016c94c4f0dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US4R31216016","spotify:user:82z3k3c3ijn2ogrbdndu66x71","2020-11-14T20:42:05Z"
