"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1juMBzEQqiC2k6KOy44ZID","Easy Living","spotify:artist:0FMucZsEnCxs5pqBjHjIc8","Stan Getz","spotify:album:5liOco8nQR5R35L1D9uA3L","Plays For Lovers","spotify:artist:0FMucZsEnCxs5pqBjHjIc8","Stan Getz","2006-01-01","https://i.scdn.co/image/ab67616d0000b273132706727373d787f4b1a050","1","1","464000","https://p.scdn.co/mp3-preview/73b10e64bf228b437313faf519971ffe688c6582?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USC4R0300574","spotify:user:rob.bednark","2020-02-06T04:52:42Z"
"spotify:track:5p6me2mwQrGfH30eExHn6v","Take Five","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","spotify:album:5LiPzuR79DTTmyROUm2luC","On Time","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","2001-04-02","https://i.scdn.co/image/ab67616d0000b273c0f74b53d4cf4b14f7f5d41a","1","1","323066","https://p.scdn.co/mp3-preview/0365b2df0dc7042650497ac24a0dbacd98f0454e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USSM16600282","spotify:user:rob.bednark","2020-02-06T04:55:21Z"
"spotify:track:14MH8dzkk4Cu9I0sjLGAvw","The Night Has a Thousand Eyes","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","spotify:album:620p4tcAC1PAmDUY8Vk5KT","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","1997","https://i.scdn.co/image/ab67616d0000b273a821b2b0412fe5dcf3ccd2a9","1","2","308306","https://p.scdn.co/mp3-preview/304701beee27f60755f67787f8d564f05ef4d783?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USBB16401014","spotify:user:rob.bednark","2020-02-06T04:58:55Z"
"spotify:track:6epkVMmciBBpUmLRTz2l1c","Seritonin Release (Theta)","spotify:artist:1brqArPBIHyMe96cqUA2Vz","Isochronic Tones Brainwave Entrainment","spotify:album:4wyLrAtl2wLm4m6wLXZVyt","Isochronic Tones Brainwave Entrainment","spotify:artist:1brqArPBIHyMe96cqUA2Vz","Isochronic Tones Brainwave Entrainment","2013-02-27","https://i.scdn.co/image/ab67616d0000b273188031b9dd3f8163540c3f83","1","4","598000","https://p.scdn.co/mp3-preview/fc5ee19bd14075f52b8817bd1372330dc1206343?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","TCABM1348503","spotify:user:rob.bednark","2020-02-06T05:02:28Z"
"spotify:track:0NnFozv3J4acMYUYtxPSPf","No. 1. - Lent Et Douloureux","spotify:artist:7a7MvRxJIoVblndypH8XgC","Isan","spotify:album:3iJgUmRkjc1Yf4hejFbLhw","Trois Gymnopedies","spotify:artist:7a7MvRxJIoVblndypH8XgC","Isan","2006-04-03","https://i.scdn.co/image/ab67616d0000b27394816a6e2ae1a5935adf9f57","1","1","156533","https://p.scdn.co/mp3-preview/23dbcbd9b70fc0c4ef92d993d99e405cbe558161?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","DEX260500701","spotify:user:rob.bednark","2023-01-15T15:37:42Z"
"spotify:track:0L4v7VnqhO9ver6hRKkX3x","Deep Meditative Trance (Delta)","spotify:artist:1brqArPBIHyMe96cqUA2Vz","Isochronic Tones Brainwave Entrainment","spotify:album:4wyLrAtl2wLm4m6wLXZVyt","Isochronic Tones Brainwave Entrainment","spotify:artist:1brqArPBIHyMe96cqUA2Vz","Isochronic Tones Brainwave Entrainment","2013-02-27","https://i.scdn.co/image/ab67616d0000b273188031b9dd3f8163540c3f83","1","9","598000","https://p.scdn.co/mp3-preview/24e009f2eae259afad5ac7cddebefcf2c1a34680?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","TCABM1348509","spotify:user:rob.bednark","2020-02-06T05:02:57Z"
"spotify:track:28Jug59ejZ3fQkEZvXKXXU","Partita in A Minor for Solo Flute, BWV 1013: I. Allemande","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:6m9iSEulrcSYUYkhdmlVj9","Johann Sebastian Bach, Jörg Hähnlein","spotify:album:4nKjxj0n3ZhyZZwMdZduJT","60 Relaxing Flute Chillout Classics","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2015-06-23","https://i.scdn.co/image/ab67616d0000b2735e3a42f63565a5c57d56693d","1","4","193040","https://p.scdn.co/mp3-preview/92968b18751653e356d766365cfca3d2f1308537?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBQRF1342146","spotify:user:rob.bednark","2020-02-06T05:04:53Z"
"spotify:track:7bpENOpFZVy6bUx98LuQA2","Lute Partita in C Minor, BWV 997: I. Prelude (arr. T. Hoppstock for guitar)","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:1Rs356B700BN72oigsllcH, spotify:artist:1AYBS6W3722bJlBPmvnnTE","Johann Sebastian Bach, Tilman Hoppstock, Judicaël Perroy","spotify:album:0zb1jQS9VczR0fp7b9Mekw","Classical Guitar - 50 of the Best","spotify:artist:0LyfQWJT6nXafLPZqxe9Of, spotify:artist:50MREZ0LJcSvrtKuyTV8Su, spotify:artist:3QEztQUVjL5FGxXuP70mJQ","Various Artists, Peter Breiner, Johannes Wildner","2012-06-21","https://i.scdn.co/image/ab67616d0000b273178f34eaf854026d961519db","1","4","205960","https://p.scdn.co/mp3-preview/506bcf4549f7dbe5d4e65a401511708489262d1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","HKI191117107","spotify:user:rob.bednark","2020-02-06T05:05:22Z"
"spotify:track:0bnoT1p09yk2JMUdUBcneP","Tibetan Singing Bowls & Birds","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","spotify:album:3O9XeU71KjYuBgzUs5MHLL","Tibetan Bells, Tibetan Bowls: Tranquility, Gong Bath Sound, Buddhist Wisdom, Serenity Asian Meditation, Zen Garden Tao Music","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","2016-11-14","https://i.scdn.co/image/ab67616d0000b27364650cbfdb10dc956d16efa5","1","1","144595","https://p.scdn.co/mp3-preview/f52da124d1486019284d8e670fa7e0e9f3118e47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","PLL431545869","spotify:user:rob.bednark","2020-02-06T05:08:23Z"
"spotify:track:4ZKkUMpUK9p9ERtr9RvaFZ","Simple Pure Tranquility","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","spotify:album:3O9XeU71KjYuBgzUs5MHLL","Tibetan Bells, Tibetan Bowls: Tranquility, Gong Bath Sound, Buddhist Wisdom, Serenity Asian Meditation, Zen Garden Tao Music","spotify:artist:2mboVb9vgsVakeXydB1hXI","Wellbeing Zone","2016-11-14","https://i.scdn.co/image/ab67616d0000b27364650cbfdb10dc956d16efa5","1","4","246683","https://p.scdn.co/mp3-preview/5c22a685c063964cc8c0543ce342fcfe4240c41b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","PLL431545872","spotify:user:rob.bednark","2020-02-06T05:08:39Z"
