"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0tDMn4F8OOD5j5OFrRW6m4","There She Goes","spotify:artist:0lJlKQvuM2Sd9DPPyUXcHg","Sixpence None The Richer","spotify:album:5kci1HTcEZfK1Jv5HrzPad","6 PICKS: Essential Radio Hits EP","spotify:artist:0lJlKQvuM2Sd9DPPyUXcHg","Sixpence None The Richer","2009-02-03","https://i.scdn.co/image/ab67616d0000b273bdd48c44bb40dd2e492169b1","1","4","163666","","false","0","USWR60400391","spotify:user:rob.bednark","2014-09-12T18:00:24Z"
"spotify:track:1ul9EvRsjsM6hdPo4VRUkp","Will You Still Love Me Tomorrow","spotify:artist:0x83OBqixqdCHnStP5VMcn","The Shirelles","spotify:album:59AvmMCslqiSj8qz3Y5vEo","Golden Hits forever V6","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-02-14","https://i.scdn.co/image/ab67616d0000b273ffc525514cb6da541ca95735","2","13","161840","","false","0","UST7W0903043","spotify:user:rob.bednark","2014-06-09T05:30:25Z"
"spotify:track:0KpfYajJVVGgQ32Dby7e9i","Hey, Soul Sister","spotify:artist:3FUY2gzHeIiaesXtOAdB7A","Train","spotify:album:5lTCUyQrKcSmcw5ULkt75O","Hey, Soul Sister","spotify:artist:3FUY2gzHeIiaesXtOAdB7A","Train","2009-08-06","https://i.scdn.co/image/ab67616d0000b273706a70e4bfb15d33b8ec74a1","1","1","216666","","false","0","USSM10904113","spotify:user:rob.bednark","2011-08-23T04:37:45Z"
"spotify:track:4Dv6wPPYpGAh9TqB9ks1EP","I Will Follow You Into The Dark","spotify:artist:0YrtvWJMgSdVrk3SfNjTbx","Death Cab for Cutie","spotify:album:6uFXli87RbmWrNKt9wmi1M","Plans","spotify:artist:0YrtvWJMgSdVrk3SfNjTbx","Death Cab for Cutie","2005-08-29","https://i.scdn.co/image/ab67616d0000b2739ee147d1eecf8daa0aec6c6a","1","5","188466","","false","0","USAT20504677","spotify:user:rob.bednark","2011-08-23T04:42:34Z"
"spotify:track:2pU7QGArQYvFqBFN2Pn4nH","Dance Me to the End of Love - Live in London","spotify:artist:5l8VQNuIg0turYE1VtM9zV","Leonard Cohen","spotify:album:6fxtsivPKNtNAAaMwfjP1K","Live In London","spotify:artist:5l8VQNuIg0turYE1VtM9zV","Leonard Cohen","2009-03-26","https://i.scdn.co/image/ab67616d0000b2737ec3afbad43f4b8d201ec194","1","1","380026","","false","0","CAC220900002","spotify:user:rob.bednark","2011-08-23T04:43:57Z"
"spotify:track:2SKZVMkDxmDBtcCBl6EjUP","Everybody Knows - Live in London","spotify:artist:5l8VQNuIg0turYE1VtM9zV","Leonard Cohen","spotify:album:6fxtsivPKNtNAAaMwfjP1K","Live In London","spotify:artist:5l8VQNuIg0turYE1VtM9zV","Leonard Cohen","2009-03-26","https://i.scdn.co/image/ab67616d0000b2737ec3afbad43f4b8d201ec194","1","5","352560","","false","0","CAC220900006","spotify:user:rob.bednark","2011-08-23T04:49:39Z"
"spotify:track:0MsRqPENUe78FGcVhWkFqF","Tower of Song - Live in London","spotify:artist:5l8VQNuIg0turYE1VtM9zV","Leonard Cohen","spotify:album:6fxtsivPKNtNAAaMwfjP1K","Live In London","spotify:artist:5l8VQNuIg0turYE1VtM9zV","Leonard Cohen","2009-03-26","https://i.scdn.co/image/ab67616d0000b2737ec3afbad43f4b8d201ec194","1","11","427146","","false","0","CAC220900011","spotify:user:rob.bednark","2011-08-23T04:49:46Z"
"spotify:track:1GbBgiHi7Sp3eJiDJp9UDa","Hallelujah - Live in London","spotify:artist:5l8VQNuIg0turYE1VtM9zV","Leonard Cohen","spotify:album:6fxtsivPKNtNAAaMwfjP1K","Live In London","spotify:artist:5l8VQNuIg0turYE1VtM9zV","Leonard Cohen","2009-03-26","https://i.scdn.co/image/ab67616d0000b2737ec3afbad43f4b8d201ec194","2","2","440093","","false","0","CAC220900015","spotify:user:rob.bednark","2011-08-23T04:49:58Z"
"spotify:track:2nfNFR6OMdlMpZ8tKqHdiD","Democracy - Live in London","spotify:artist:5l8VQNuIg0turYE1VtM9zV","Leonard Cohen","spotify:album:6fxtsivPKNtNAAaMwfjP1K","Live In London","spotify:artist:5l8VQNuIg0turYE1VtM9zV","Leonard Cohen","2009-03-26","https://i.scdn.co/image/ab67616d0000b2737ec3afbad43f4b8d201ec194","2","3","428693","","false","0","CAC220900016","spotify:user:rob.bednark","2011-08-23T04:50:01Z"
"spotify:track:6J0bfW04nm33bWSJDDCjqt","Sisters of Mercy - Live in London","spotify:artist:5l8VQNuIg0turYE1VtM9zV","Leonard Cohen","spotify:album:6fxtsivPKNtNAAaMwfjP1K","Live In London","spotify:artist:5l8VQNuIg0turYE1VtM9zV","Leonard Cohen","2009-03-26","https://i.scdn.co/image/ab67616d0000b2737ec3afbad43f4b8d201ec194","2","9","296080","","false","0","CAC220900022","spotify:user:rob.bednark","2011-08-23T04:50:09Z"
